路径,章节,ID,优先级,时间,事件,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1000,Urgent,10:00:00,调查组，包括队长 GR，工程师 Dog Si. Can，安全员 Seaon，导航员 Dog Gr. Romin 因接收到异常信号源而前往此洞穴进行调查，确认异常信号源的来源。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1005,General,10:05:00,在确认物料情况并检查洞穴环境可以无需穿戴防护服就可进入后，所有人正式进入洞穴。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1013,General,10:13:00,洞穴地下一层环境正常，无任何异常情况。信号指示器向下方指引，示意他们进入洞穴地下二层。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1017,Important,10:17:00,他们来到洞穴地下二层，Seaon 发现部分石块呈方块化，GR 和 Romin 表示此类方块很眼熟。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1020,General,10:20:00,环境侦测仪表示正下方存在通路，可以直接前往地下三层。在确认地面条件的可挖掘性后，Can 开始挖掘。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1024-10,Urgent,10:24:00,他们到达地下三层，发现该层的地质结构非常奇异，所有东西均呈现方块状（包括墙壁、地面、突出的物体等）。GR 和 Romin 非常惊讶，因为该层的特征和 Digcraft 洞穴地貌完美吻合。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1024-20,General,10:24:00,Can 表示这些方块状物体是之前从未见过的，他需要开采一些样本，以便带回去研究。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1025,Important,10:25:00,Can 开采了几块石头，掉落的均为方块状物体。现在 GR 和 Romin 更确定就是来到了 Digcraft 洞穴之中。也就是说，异常信号源链接了 Digcraft 的一部分区块到本世界的这部分区域。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1032,Urgent,10:32:00,Seaon 发现了废弃矿洞，其他人立刻跟了过去，并收获了大量珍贵的木材。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1033,General,10:33:00,GR 表示应该分头行动，他和 Seaon 向上收集材料，Romin 和 Can 向下收集材料。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1041,Important,10:41:00,GR 一队遇到了废弃矿车，收获了大量材料。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1044,Urgent,10:44:00,Romin 一队遇到了繁茂洞穴。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1051,General,10:51:00,Romin 一队在繁茂洞穴里遇到了怪物，最后他们逃跑了。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1055,General,10:55:00,GR 一队遇到了僵尸地牢，GR 使用高超的战斗技巧剿灭了所有怪物并封印了刷怪笼。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1056,Important,10:56:00,GR 一队在地牢内找到了地牢奖励箱，并在里面得到了大量珍贵材料。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1101-25,Important,11:01:00,Romin 一队安全后，他们向 GR 一队发送了变更会合地点的通知。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1101-28,Important,11:01:00,GR 和 Seaon 回程的过程中收到 Romin 一队修改会合地点的通知，于是他们前往新地点会合。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1120,Important,11:20:00,GR 一队和 Romin 一队成功会合，他们交换了情报。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1125,General,11:25:00,Can 表示应继续前往目标地点。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1129,Important,11:29:00,他们来到了一个死胡同，Can 使用自备的炸药爆破。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1131,Urgent,11:31:00,爆破完毕后，一道巨大的传送门出现在他们眼前，该传送门外框由深黑色的物体构成，里面则是由紫色的不透明材料组成（可能不具有实体性质），同时这些紫色材料生成了一些同样为紫色的粒子，粒子不具备实体性质。传送门后面则是一片巨大的岩浆湖。,,,,,,,,,,,,,,,,,,,,,,,
MOD,1.01,1132,Urgent,11:32:00,怪物出现在他们身后，GR 命令队员进入紧急战斗姿势。,,,,,,,,,,,,,,,,,,,,,,,
